global_id: 183; arrival_time: 1725802200.9040675; e2e_latency: 50.3903067111969; queueing_latency: 0.3990323543548584; serving_latency: 49.99127435684204; 
global_id: 232; arrival_time: 1725802210.0731683; e2e_latency: 41.547240018844604; queueing_latency: 27.228145837783813; serving_latency: 14.319094181060791; 
global_id: 125; arrival_time: 1725802189.8183243; e2e_latency: 62.12949585914612; queueing_latency: 4.345390796661377; serving_latency: 57.78410506248474; 
global_id: 115; arrival_time: 1725802188.7577627; e2e_latency: 63.49977254867554; queueing_latency: 3.874289035797119; serving_latency: 59.62548351287842; 
global_id: 118; arrival_time: 1725802188.762844; e2e_latency: 63.49469876289368; queueing_latency: 4.341535329818726; serving_latency: 59.15316343307495; 
global_id: 147; arrival_time: 1725802193.6404328; e2e_latency: 58.617186307907104; queueing_latency: 3.0451161861419678; serving_latency: 55.57207012176514; 
global_id: 97; arrival_time: 1725802185.9571855; e2e_latency: 67.31730628013611; queueing_latency: 0.04393601417541504; serving_latency: 67.2733702659607; 
global_id: 110; arrival_time: 1725802187.452692; e2e_latency: 65.82184982299805; queueing_latency: 0.526461124420166; serving_latency: 65.29538869857788; 
global_id: 148; arrival_time: 1725802193.898694; e2e_latency: 59.37593126296997; queueing_latency: 2.9976277351379395; serving_latency: 56.37830352783203; 
global_id: 157; arrival_time: 1725802194.777647; e2e_latency: 58.496985912323; queueing_latency: 2.641697645187378; serving_latency: 55.85528826713562; 
global_id: 174; arrival_time: 1725802198.4957385; e2e_latency: 55.856688022613525; queueing_latency: 0.80031418800354; serving_latency: 55.056373834609985; 
global_id: 132; arrival_time: 1725802191.4449458; e2e_latency: 63.49094867706299; queueing_latency: 3.6993770599365234; serving_latency: 59.791571617126465; 
global_id: 100; arrival_time: 1725802186.1035023; e2e_latency: 69.50798773765564; queueing_latency: 0.5492582321166992; serving_latency: 68.95872950553894; 
global_id: 178; arrival_time: 1725802200.3807058; e2e_latency: 55.23094320297241; queueing_latency: 0.08704400062561035; serving_latency: 55.1438992023468; 
global_id: 102; arrival_time: 1725802186.2202778; e2e_latency: 69.98995232582092; queueing_latency: 0.8778564929962158; serving_latency: 69.1120958328247; 
global_id: 158; arrival_time: 1725802194.8916252; e2e_latency: 61.31868863105774; queueing_latency: 2.527719497680664; serving_latency: 58.790969133377075; 
global_id: 129; arrival_time: 1725802190.8716242; e2e_latency: 66.17612338066101; queueing_latency: 3.5315282344818115; serving_latency: 62.6445951461792; 
global_id: 198; arrival_time: 1725802204.5574682; e2e_latency: 53.056920766830444; queueing_latency: 0.2517259120941162; serving_latency: 52.80519485473633; 
global_id: 192; arrival_time: 1725802203.595673; e2e_latency: 54.55665135383606; queueing_latency: 0.02514791488647461; serving_latency: 54.531503438949585; 
global_id: 112; arrival_time: 1725802188.746862; e2e_latency: 69.869549036026; queueing_latency: 2.536358594894409; serving_latency: 67.33319044113159; 
global_id: 168; arrival_time: 1725802196.5848773; e2e_latency: 62.031604528427124; queueing_latency: 1.5759057998657227; serving_latency: 60.4556987285614; 
global_id: 200; arrival_time: 1725802204.6975567; e2e_latency: 54.38780975341797; queueing_latency: 0.5697414875030518; serving_latency: 53.81806826591492; 
global_id: 173; arrival_time: 1725802197.5289783; e2e_latency: 62.11268448829651; queueing_latency: 1.5525827407836914; serving_latency: 60.56010174751282; 
global_id: 141; arrival_time: 1725802193.0725777; e2e_latency: 67.00984025001526; queueing_latency: 2.6413872241973877; serving_latency: 64.36845302581787; 
global_id: 204; arrival_time: 1725802205.2505488; e2e_latency: 54.831984519958496; queueing_latency: 0.367295503616333; serving_latency: 54.46468901634216; 
global_id: 101; arrival_time: 1725802186.1276498; e2e_latency: 74.53175830841064; queueing_latency: 0.7270421981811523; serving_latency: 73.80471611022949; 
global_id: 94; arrival_time: 1725802185.7478533; e2e_latency: 75.31903910636902; queueing_latency: 0.014736175537109375; serving_latency: 75.30430293083191; 
global_id: 130; arrival_time: 1725802191.1464472; e2e_latency: 69.92048144340515; queueing_latency: 3.537276268005371; serving_latency: 66.38320517539978; 
global_id: 99; arrival_time: 1725802186.0976439; e2e_latency: 75.83975076675415; queueing_latency: 0.21083354949951172; serving_latency: 75.62891721725464; 
global_id: 201; arrival_time: 1725802204.7059302; e2e_latency: 57.50172400474548; queueing_latency: 0.5613679885864258; serving_latency: 56.94035601615906; 
global_id: 144; arrival_time: 1725802193.1582198; e2e_latency: 69.48351263999939; queueing_latency: 2.9091172218322754; serving_latency: 66.57439541816711; 
global_id: 119; arrival_time: 1725802188.914522; e2e_latency: 74.02986121177673; queueing_latency: 4.778761148452759; serving_latency: 69.25110006332397; 
global_id: 134; arrival_time: 1725802191.545982; e2e_latency: 71.39840984344482; queueing_latency: 3.8392701148986816; serving_latency: 67.55913972854614; 
global_id: 160; arrival_time: 1725802195.090181; e2e_latency: 67.85423278808594; queueing_latency: 2.7047104835510254; serving_latency: 65.14952230453491; 
global_id: 108; arrival_time: 1725802187.3058567; e2e_latency: 76.86435437202454; queueing_latency: 0.11392545700073242; serving_latency: 76.7504289150238; 
global_id: 186; arrival_time: 1725802200.9896336; e2e_latency: 63.5704391002655; queueing_latency: 0.6814417839050293; serving_latency: 62.888997316360474; 
global_id: 196; arrival_time: 1725802204.2437239; e2e_latency: 60.64184355735779; queueing_latency: 0.03303337097167969; serving_latency: 60.60881018638611; 
global_id: 199; arrival_time: 1725802204.6753314; e2e_latency: 60.21025276184082; queueing_latency: 0.3563113212585449; serving_latency: 59.853941440582275; 
global_id: 146; arrival_time: 1725802193.2908423; e2e_latency: 72.25112819671631; queueing_latency: 3.1538078784942627; serving_latency: 69.09732031822205; 
global_id: 244; arrival_time: 1725802213.8693714; e2e_latency: 52.63542056083679; queueing_latency: 35.14904808998108; serving_latency: 17.486372470855713; 
global_id: 316; arrival_time: 1725802230.7580564; e2e_latency: 35.843801975250244; queueing_latency: 31.451570987701416; serving_latency: 4.392230987548828; 
global_id: 328; arrival_time: 1725802232.8080008; e2e_latency: 34.28461527824402; queueing_latency: 31.364235401153564; serving_latency: 2.920379877090454; 
global_id: 329; arrival_time: 1725802232.8588514; e2e_latency: 34.60499835014343; queueing_latency: 31.313384771347046; serving_latency: 3.2916135787963867; 
global_id: 275; arrival_time: 1725802222.1196873; e2e_latency: 45.441845655441284; queueing_latency: 32.234418630599976; serving_latency: 13.207427024841309; 
global_id: 177; arrival_time: 1725802199.9996057; e2e_latency: 67.87708306312561; queueing_latency: 0.07002711296081543; serving_latency: 67.8070559501648; 
global_id: 162; arrival_time: 1725802195.532356; e2e_latency: 73.20789504051208; queueing_latency: 2.628427028656006; serving_latency: 70.57946801185608; 
global_id: 338; arrival_time: 1725802235.286508; e2e_latency: 33.4543399810791; queueing_latency: 29.601665258407593; serving_latency: 3.852674722671509; 
global_id: 197; arrival_time: 1725802204.2843542; e2e_latency: 65.64824652671814; queueing_latency: 0.30019211769104004; serving_latency: 65.3480544090271; 
global_id: 210; arrival_time: 1725802206.2557874; e2e_latency: 64.33535313606262; queueing_latency: 0.07709002494812012; serving_latency: 64.2582631111145; 
global_id: 253; arrival_time: 1725802216.4820845; e2e_latency: 55.62226104736328; queueing_latency: 33.68453240394592; serving_latency: 21.93772864341736; 
global_id: 235; arrival_time: 1725802210.657623; e2e_latency: 62.03996992111206; queueing_latency: 33.26889133453369; serving_latency: 28.77107858657837; 
global_id: 277; arrival_time: 1725802222.6584046; e2e_latency: 51.42254042625427; queueing_latency: 32.039427757263184; serving_latency: 19.38311266899109; 
global_id: 221; arrival_time: 1725802208.4763756; e2e_latency: 66.42306113243103; queueing_latency: 5.915966510772705; serving_latency: 60.507094621658325; 
global_id: 236; arrival_time: 1725802210.8513553; e2e_latency: 64.04813599586487; queueing_latency: 33.07515907287598; serving_latency: 30.97297692298889; 
global_id: 312; arrival_time: 1725802230.1327636; e2e_latency: 44.76708984375; queueing_latency: 31.166234970092773; serving_latency: 13.600854873657227; 
global_id: 314; arrival_time: 1725802230.5188222; e2e_latency: 44.38104581832886; queueing_latency: 31.420556783676147; serving_latency: 12.96048903465271; 
global_id: 202; arrival_time: 1725802205.1765904; e2e_latency: 71.04317331314087; queueing_latency: 0.4412539005279541; serving_latency: 70.60191941261292; 
global_id: 143; arrival_time: 1725802193.154965; e2e_latency: 84.00126910209656; queueing_latency: 2.91237211227417; serving_latency: 81.08889698982239; 
global_id: 238; arrival_time: 1725802211.3470297; e2e_latency: 66.82211899757385; queueing_latency: 33.456140756607056; serving_latency: 33.3659782409668; 
global_id: 339; arrival_time: 1725802235.3875017; e2e_latency: 43.40199637413025; queueing_latency: 29.50067162513733; serving_latency: 13.90132474899292; 
global_id: 239; arrival_time: 1725802211.378747; e2e_latency: 67.73070096969604; queueing_latency: 33.42442345619202; serving_latency: 34.30627751350403; 
global_id: 280; arrival_time: 1725802222.8432796; e2e_latency: 56.364534854888916; queueing_latency: 32.0943877696991; serving_latency: 24.27014708518982; 
global_id: 265; arrival_time: 1725802219.279077; e2e_latency: 60.25658178329468; queueing_latency: 33.438822507858276; serving_latency: 26.8177592754364; 
global_id: 340; arrival_time: 1725802235.675636; e2e_latency: 44.25047206878662; queueing_latency: 29.5414297580719; serving_latency: 14.709042310714722; 
global_id: 215; arrival_time: 1725802207.5984662; e2e_latency: 72.64965033531189; queueing_latency: 4.694148302078247; serving_latency: 67.95550203323364; 
global_id: 330; arrival_time: 1725802233.1115253; e2e_latency: 47.52094531059265; queueing_latency: 31.450578212738037; serving_latency: 16.070367097854614; 
global_id: 222; arrival_time: 1725802208.4797876; e2e_latency: 73.38868284225464; queueing_latency: 7.8182373046875; serving_latency: 65.57044553756714; 
global_id: 241; arrival_time: 1725802212.4294715; e2e_latency: 70.81981754302979; queueing_latency: 35.82274866104126; serving_latency: 34.997068881988525; 
global_id: 274; arrival_time: 1725802222.0967882; e2e_latency: 61.64093589782715; queueing_latency: 31.863539218902588; serving_latency: 29.77739667892456; 
global_id: 359; arrival_time: 1725802240.4295712; e2e_latency: 44.360454082489014; queueing_latency: 36.728880643844604; serving_latency: 7.631573438644409; 
global_id: 291; arrival_time: 1725802225.0406613; e2e_latency: 60.0389244556427; queueing_latency: 33.11347723007202; serving_latency: 26.92544722557068; 
global_id: 170; arrival_time: 1725802197.118263; e2e_latency: 89.6533784866333; queueing_latency: 1.4127545356750488; serving_latency: 88.24062395095825; 
global_id: 176; arrival_time: 1725802198.7520056; e2e_latency: 88.01964807510376; queueing_latency: 0.7734994888305664; serving_latency: 87.2461485862732; 
global_id: 342; arrival_time: 1725802235.8965425; e2e_latency: 50.87555122375488; queueing_latency: 29.320523262023926; serving_latency: 21.555027961730957; 
global_id: 273; arrival_time: 1725802221.7258325; e2e_latency: 65.86959910392761; queueing_latency: 32.23449492454529; serving_latency: 33.635104179382324; 
global_id: 307; arrival_time: 1725802228.8813553; e2e_latency: 58.71421933174133; queueing_latency: 31.43444514274597; serving_latency: 27.27977418899536; 
global_id: 299; arrival_time: 1725802227.4419436; e2e_latency: 60.890403032302856; queueing_latency: 32.20171570777893; serving_latency: 28.688687324523926; 
global_id: 347; arrival_time: 1725802237.7402318; e2e_latency: 50.85219764709473; queueing_latency: 30.138530731201172; serving_latency: 20.713666915893555; 
global_id: 282; arrival_time: 1725802223.1991384; e2e_latency: 65.91191148757935; queueing_latency: 31.738528966903687; serving_latency: 34.17338252067566; 
global_id: 250; arrival_time: 1725802215.8759358; e2e_latency: 73.42740678787231; queueing_latency: 34.04430842399597; serving_latency: 39.38309836387634; 
global_id: 284; arrival_time: 1725802223.2291608; e2e_latency: 66.074289560318; queueing_latency: 32.38470411300659; serving_latency: 33.6895854473114; 
global_id: 344; arrival_time: 1725802237.4660547; e2e_latency: 51.83762550354004; queueing_latency: 28.07805609703064; serving_latency: 23.7595694065094; 
global_id: 227; arrival_time: 1725802209.3032372; e2e_latency: 81.44909238815308; queueing_latency: 16.776750802993774; serving_latency: 64.6723415851593; 
global_id: 226; arrival_time: 1725802209.1272688; e2e_latency: 82.74479007720947; queueing_latency: 15.963123559951782; serving_latency: 66.78166651725769; 
global_id: 361; arrival_time: 1725802240.5537593; e2e_latency: 52.02924036979675; queueing_latency: 36.604692459106445; serving_latency: 15.424547910690308; 
global_id: 229; arrival_time: 1725802209.8156638; e2e_latency: 83.10193920135498; queueing_latency: 19.373968601226807; serving_latency: 63.727970600128174; 
global_id: 366; arrival_time: 1725802242.3726647; e2e_latency: 51.416752338409424; queueing_latency: 37.87746071815491; serving_latency: 13.539291620254517; 
global_id: 279; arrival_time: 1725802222.7360466; e2e_latency: 71.33293008804321; queueing_latency: 31.961785793304443; serving_latency: 39.37114429473877; 
global_id: 322; arrival_time: 1725802231.5230694; e2e_latency: 63.141348361968994; queueing_latency: 31.921287298202515; serving_latency: 31.22006106376648; 
global_id: 324; arrival_time: 1725802231.793542; e2e_latency: 62.8708918094635; queueing_latency: 31.932231664657593; serving_latency: 30.938660144805908; 
global_id: 318; arrival_time: 1725802230.8263116; e2e_latency: 64.26206612586975; queueing_latency: 32.12085247039795; serving_latency: 32.1412136554718; 
global_id: 336; arrival_time: 1725802234.7989223; e2e_latency: 60.67973780632019; queueing_latency: 30.089251041412354; serving_latency: 30.590486764907837; 
global_id: 332; arrival_time: 1725802233.6545966; e2e_latency: 62.3024206161499; queueing_latency: 30.907506942749023; serving_latency: 31.39491367340088; 
global_id: 364; arrival_time: 1725802241.591125; e2e_latency: 54.36597943305969; queueing_latency: 38.659000396728516; serving_latency: 15.706979036331177; 
global_id: 395; arrival_time: 1725802249.2448385; e2e_latency: 47.65860629081726; queueing_latency: 45.84512186050415; serving_latency: 1.8134844303131104; 
global_id: 360; arrival_time: 1725802240.4479253; e2e_latency: 58.84656834602356; queueing_latency: 36.71052646636963; serving_latency: 22.13604187965393; 
